Dalvik/1.6.0 (Linux; U; Android 4.2.2; PF83 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.1.2; Coolpad 5930 Build/JZO54K)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; R831T Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.1.1; MI 2SC MIUI/JLB15.0)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; Coolpad 8122 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; Coolpad 8122 Build/JDQ39)
Dalvik/2.1.0 (Linux; U; Android 5.1.1; C6902 Build/14.6.A.0.368)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; Lenovo A5000 Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; Lenovo A5000 Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.3; Coolpad 8729 Build/JLS36C)
Dalvik/1.6.0 (Linux; U; Android 4.3; Coolpad 8729 Build/JLS36C)
Dalvik/1.6.0 (Linux; U; Android 4.4.3; Coolpad 8702D Build/KTU84M)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; D5503 Build/14.3.A.0.681)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; D5503 Build/14.3.A.0.681)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; Lenovo A3300-T Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; VOYAGER DG300 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.1; R823T Build/JOP40D)
Dalvik/1.6.0 (Linux; U; Android 4.2.1; R823T Build/JOP40D)
Dalvik/1.6.0 (Linux; U; Android 4.2.1; Amazing A6 Build/JOP40D)
Dalvik/1.6.0 (Linux; U; Android 4.2.1; Amazing A6 Build/JOP40D)
Dalvik/1.6.0 (Linux; U; Android 4.1.2; SCH-I739 Build/JZO54K)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; Lenovo A850+ Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; Lenovo A850+ Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; M463C Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; M463C Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; M463C Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; M463C Build/KTU84P)
Dalvik/2.1.0 (Linux; U; Android 5.0.2; D6503 Build/23.1.A.1.28)
Dalvik/1.6.0 (Linux; U; Android 4.1.1; GT-N7100 Build/JRO03C)
Dalvik/1.6.0 (Linux; U; Android 4.1.1; GT-N7100 Build/JRO03C)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; Philips W6618 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; YTONE L985S Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; YTONE L985S Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; Lenovo A3500-HV Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.3; vivo X710L Build/JLS36C)
Dalvik/1.4.0 (Linux; U; Android 4.0.4; VLAND FX520T Build/MocorDroid4.0.4)
Dalvik/1.6.0 (Linux; U; Android 4.3; vivo Y18L Build/JLS36C)
Dalvik/1.6.0 (Linux; U; Android 4.3; vivo Y18L Build/JLS36C)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; TCL S720 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.1; Coolpad8750 Build/JOP40D)
Dalvik/1.6.0 (Linux; U; Android 4.2.1; Coolpad8750 Build/JOP40D)
Dalvik/1.4.0 (Linux; U; Android 2.3.6; Amazing A1 Build/GRK39F)
